# trial -> todo manifest; the backend conversation is the ground truth for
# 'which step did the AI take and why'. Fetch with the owning pool account.
# run task trial reward todoId deviceId
tb21-gpt-5.6-sol-xhigh-ultra__batch03 dna-assembly dna-assembly__XUZ2QJY 0 595bef93-2629-4524-a2d9-3fa38ca08210 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch03 dna-insert dna-insert__ChgpZY7 0 15e2c285-59fe-4e38-b1bc-e4d29c260fad bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch03 extract-elf extract-elf__BwCz2wx 1 126961af-438d-42e3-b5df-e0f925629dcb 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch03 extract-moves-from-video extract-moves-from-video__U387qQ5 0 5746e684-9c85-40c1-a824-d6a72487dca6 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch03 feal-differential-cryptanalysis feal-differential-cryptanalysis__6PKFsVZ 1 ddbd88bc-45e9-42c3-bbe6-4f93ea5a2622 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch03 feal-linear-cryptanalysis feal-linear-cryptanalysis__UEWqUTR 1 04850156-11d2-414f-839a-2bd5ec0e9ae1 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch03 filter-js-from-html filter-js-from-html__XuUxAqK 0 09ad887e-3daf-4756-bf1b-3df8d0bf0b44 -
tb21-gpt-5.6-sol-xhigh-ultra__batch03 financial-document-processor financial-document-processor__CJhDRtj 1 dd6d605b-7a38-4269-b970-25d103785c68 b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch03 fix-code-vulnerability fix-code-vulnerability__3VzrZCv 1 c2fdb38e-67f2-4a4a-b493-076e8b843059 b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch03 fix-git fix-git__vNUwQ89 1 1dd24fa0-5471-41db-bf03-4a4daa4150e4 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch04 fix-ocaml-gc fix-ocaml-gc__NHUsXFn 1 d67946d2-818c-468d-96dc-68efe67d3304 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch04 gcode-to-text gcode-to-text__VU7hHLu 1 6d37b322-da36-46ec-adec-98e178c7405e bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch04 git-leak-recovery git-leak-recovery__9a9cUZ9 1 74875864-2a56-4279-adaa-81a87d5b4d7b bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch04 git-multibranch git-multibranch__TtDAkrp 1 44d88212-404b-4859-8cdc-a5e2b546ce19 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch04 gpt2-codegolf gpt2-codegolf__v9YHX4z 0 5712a6e4-63d9-4c1b-86f8-63eeef86d86e 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch04 headless-terminal headless-terminal__tUEtXyh 1 9274a899-93e2-40ce-a099-3fa8b667968f bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch04 hf-model-inference hf-model-inference__3jySnJW 1 05308183-9ab5-4258-bed5-92341df9936a b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch04 install-windows-3.11 install-windows-3.11__SYrJRc7 1 0a1eab78-62be-4aa2-bfe1-2982d2f1b5e7 b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch04 kv-store-grpc kv-store-grpc__HVtsmgt 1 42f88302-e627-4980-a251-03b60c648063 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch04 large-scale-text-editing large-scale-text-editing__5eVfLCe 1 afc560d8-89e8-47bd-a249-113e3dc56fff 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch05 largest-eigenval largest-eigenval__9Nn3urD 1 39167570-6cbd-4fb3-bec3-d9fb022f030c 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch05 llm-inference-batching-scheduler llm-inference-batching-scheduler__KwomRWj 1 f0466e87-8b8f-4c0c-be97-51fb1d4f4fe8 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch05 log-summary-date-ranges log-summary-date-ranges__Y4UkEcJ 1 6c9c594a-1255-4040-b36b-512360e96501 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch05 mailman mailman__LG78AbR 0 68de93b7-b74c-4f60-84cc-1672cf6f3ada 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch05 make-doom-for-mips make-doom-for-mips__N4G7no6 0 6da97819-6fc6-4c36-b5f4-9b21e15dc0e4 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch05 make-mips-interpreter make-mips-interpreter__zmuWf26 0 58dea9fc-9ef2-47bb-b02a-14962538d9a3 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch05 mcmc-sampling-stan mcmc-sampling-stan__mMPSzcR - - b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch05 merge-diff-arc-agi-task merge-diff-arc-agi-task__UdpqegL 1 7c19c350-bb33-4e46-8621-022df507bc90 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch05 model-extraction-relu-logits model-extraction-relu-logits__XCz6x9u 1 e35a5d6d-bb07-4b90-b2fa-31252110313e 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch05 modernize-scientific-stack modernize-scientific-stack__idCJEyR 1 75e0f623-c86a-4949-813e-fd4b8a268b75 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch06 mteb-leaderboard mteb-leaderboard__KAU4i7x 1 1bdd7821-c37f-48f3-a2c9-f706dbbe200d b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch06 mteb-retrieve mteb-retrieve__5SZQWc6 1 e1ce5f97-74a8-4767-b5b1-af2b6791faa9 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch06 multi-source-data-merger multi-source-data-merger__Rd4oZ5t 1 0336ca6b-a0d5-4cdf-bac4-2a99847bd228 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch06 nginx-request-logging nginx-request-logging__bwZxfeg 1 11843790-a25e-4448-a038-b306a4d5e2fb bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch06 openssl-selfsigned-cert openssl-selfsigned-cert__JdVbUyS 1 32c94949-810a-4a41-89e3-be01e6dd1d1b 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch06 overfull-hbox overfull-hbox__b4TSASf 1 beb6eed8-4fb1-4656-9125-1675ca1dcf55 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch06 password-recovery password-recovery__FjS2oi3 1 b5a6a348-6ba9-4997-a4b0-34a400eb027b 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch06 path-tracing-reverse path-tracing-reverse__CWgKKYs 1 465d41c3-974e-49f5-a4c6-0616a8bc9445 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch06 path-tracing path-tracing__mLUqtRK 1 b53761e0-04d5-4fd4-b6c4-c0ecfdc31e3a 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch06 polyglot-c-py polyglot-c-py__pAazYgP 1 e64f2af3-5a88-4f4a-ab9a-2724685b6697 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch07 polyglot-rust-c polyglot-rust-c__P2zHpRt 1 5b49c5b6-b600-449c-90d9-ae432c36a072 b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch07 portfolio-optimization portfolio-optimization__XT5jNXv 1 64d6c31a-67c8-4242-a64c-59319f0c4de4 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch07 protein-assembly protein-assembly__zzC5rhi 1 88d2be20-52eb-49a2-9bef-b601aff84020 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch07 prove-plus-comm prove-plus-comm__wgeoWCV 1 17dbbc18-ae71-4e31-a32d-87ede3efc75a b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch07 pypi-server pypi-server__nZdxGWw 1 35af4b82-f9d4-4832-acd1-bb7360d43fc8 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch07 pytorch-model-cli pytorch-model-cli__SYUaacA 1 4a4f8e9f-e32b-4c87-beae-df044270073e 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch07 pytorch-model-recovery pytorch-model-recovery__MJYopJm 0 bd15848f-b9c5-4fac-b5da-e2ff865b5e16 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch07 qemu-alpine-ssh qemu-alpine-ssh__cJ6tYD8 1 e8e81963-1999-4e00-88d4-91de3a780afc b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch07 qemu-startup qemu-startup__Yw39CCg 0 - b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch07 query-optimize query-optimize__xjVVuqp 0 8241f9a0-e365-4953-956f-fe0af48cf56e 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch08 raman-fitting raman-fitting__v8Q6CoP 1 ebdcfa26-84b5-4fa6-945f-fbc966e253b1 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch08 regex-chess regex-chess__mNWiqru 0 5fd3bac3-259e-4a9a-bf97-f5f4e626a3df b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch08 regex-log regex-log__jDCKxeA 1 1fcdc591-1724-4d5a-97aa-22b65095ad92 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch08 reshard-c4-data reshard-c4-data__Z5Ahce2 0 4ad42d30-56e5-4711-af2f-7f5d879ccebb b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch08 rstan-to-pystan rstan-to-pystan__Qqm3Geg 1 1e00a52c-ab97-4ea4-9f1a-87227c25853d 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch08 sam-cell-seg sam-cell-seg__5bfMQgW 0 564675fa-6af9-432e-9ce0-6a90720d115c 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch08 sanitize-git-repo sanitize-git-repo__Tqnyoxe 1 19fb8ed5-d3f1-4c8b-b46e-9e032e96c7a4 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch08 schemelike-metacircular-eval schemelike-metacircular-eval__vXKA8if 1 8a22c60e-5394-40d0-9065-facd78acbd8b bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch08 sparql-university sparql-university__udiJ4Xa 1 edc1a300-aef5-459a-8900-0045f789ac0e b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch08 sqlite-db-truncate sqlite-db-truncate__hbF9sMy 1 567183bc-de04-49ec-9930-3895a0500670 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch09 sqlite-with-gcov sqlite-with-gcov__bvHpDrv 1 96f4ee82-e0f1-45dc-be48-f8c6d12b8569 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch09 torch-pipeline-parallelism torch-pipeline-parallelism__KVJaxjM - db5d06a2-4977-4b36-9e2e-a6634dfa3e16 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch09 torch-tensor-parallelism torch-tensor-parallelism__yBp4skz 1 add6302f-7ebe-4448-b61a-c670cc3e1099 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch09 train-fasttext train-fasttext__spkXFp7 0 da4ca4fa-6556-4ad7-b533-8e73d8d70d9a b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch09 tune-mjcf tune-mjcf__Jjcso3H 1 65f3f2a4-a67c-4fd3-83e3-6441c8a48565 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch09 video-processing video-processing__xXw5WgG 0 5a1c9d99-1263-4d59-879f-5d298ff73b3e 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch09 vulnerable-secret vulnerable-secret__WMjoq78 1 0bd8993d-0b17-4399-8ecf-2193498b0a3f 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch09 winning-avg-corewars winning-avg-corewars__SWZogTZ 1 77b5fe5b-429b-44e4-b053-fa952c8879e1 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch09 write-compressor write-compressor__xzWEzKQ 1 284d7839-7a37-426d-b61b-1a32148698a9 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-rerun__batch01 adaptive-rejection-sampler adaptive-rejection-sampler__Tw8mX36 0 573f87de-b92f-4c09-bed8-e435f4646e4f 364f12ee-b590-4080-89ff-f1e17a058829
tb21-rerun__batch01 break-filter-js-from-html break-filter-js-from-html__PRwuHjS 1 82db6bc1-1ca0-4a4c-bdf0-8fa4242e77d2 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-rerun__batch01 build-cython-ext build-cython-ext__8Z4sqy9 1 0df6dbd1-1f69-4882-987e-c54961838366 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-rerun__batch01 build-pov-ray build-pov-ray__F8toBJZ 1 083d0ed7-ddbd-4ea3-9170-b9b6d690ec4b 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-rerun__batch01 caffe-cifar-10 caffe-cifar-10__87hVC8u 1 d4758666-3b7b-4a87-b250-110faf6e4e8f b6388e60-66a6-483f-b352-f19564d5952e
tb21-rerun__batch01 circuit-fibsqrt circuit-fibsqrt__2tvDUY8 0 bb37904c-818d-45c1-bc93-9824f77d4a81 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-rerun__batch01 cobol-modernization cobol-modernization__tUpq4qz 1 409b40ea-1bd6-4817-8040-44fdb8a15021 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-rerun__batch01 compile-compcert compile-compcert__JCPVibr 1 bccdc3d3-8979-4a09-8d91-243a221a6245 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-rerun__batch02 custom-memory-heap-crash custom-memory-heap-crash__o3KpCb5 1 40c03d07-d156-4c89-a7aa-660b898a7e27 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-rerun__batch02 dna-assembly dna-assembly__urtL38k 0 cf146b85-51b3-4b28-8190-520b9ac41823 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-rerun__batch02 dna-insert dna-insert__VKgBdAg 1 43dfa106-71f3-4954-a316-127b45669053 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-rerun__batch02 extract-moves-from-video extract-moves-from-video__2Wf6bwo 0 ab1a656e-9432-4c5c-88ef-84cdade7a4b0 364f12ee-b590-4080-89ff-f1e17a058829
tb21-rerun__batch02 mailman mailman__Y5LoE3c 1 120adc26-7293-47c2-aa3e-77c0c11c2760 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-rerun__batch02 make-mips-interpreter make-mips-interpreter__SVt9yp7 1 - bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-rerun__batch02 mcmc-sampling-stan mcmc-sampling-stan__6nzDoMR 1 f055925b-37b6-4144-84b8-b6bec531ac4c b6388e60-66a6-483f-b352-f19564d5952e
tb21-rerun__batch02 torch-pipeline-parallelism torch-pipeline-parallelism__NDb7Svy 0 6852f014-9f02-4345-9855-25fdebbc17e6 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
